YEAR,Month,Day,Hour,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_PAR_TOT,T2M,T2MDEW,RH2M,PRECTOTCORR,WS2M,WD2M,PS,WSC
2024,4,24,0,0,0,0,2.57,0.7,87.27,2.77,1.76,219,98.8,2.93
2024,4,24,1,0,0,0,2.46,0.92,89.4,4.83,1.93,220,98.71,2.97
2024,4,24,2,0,0,0,2.39,1.2,91.73,6.38,2.05,224.6,98.64,2.87
2024,4,24,3,0,0,0,2.16,1.33,94.3,6.45,2.18,231.5,98.57,2.75
2024,4,24,4,0,0,0,2.01,1.43,95.93,4.99,2.2,241.5,98.52,2.61
2024,4,24,5,0.06,0.07,0.03,1.82,1.4,96.98,3.08,2.16,246.9,98.49,2.68
2024,4,24,6,0.33,0.28,0.15,2.48,1.74,94.87,1.62,2.97,250.3,98.47,2.78
2024,4,24,7,0.64,0.51,0.29,3.42,1.85,89.34,1.25,3.44,254.8,98.45,2.99
2024,4,24,8,0.94,0.67,0.43,4.64,1.45,79.75,1.79,3.72,253.9,98.42,3.09
2024,4,24,9,1.21,0.77,0.56,5.48,0.79,71.7,2.45,3.82,247.5,98.39,3.11
2024,4,24,10,1.51,1.04,0.71,5.95,0.34,67.19,1.73,3.86,242.5,98.36,3.13
2024,4,24,11,1.54,0.98,0.73,6.54,0.54,65.46,2.16,3.8,240.5,98.33,3.07
2024,4,24,12,1.89,1.16,0.87,6.99,1.1,66.11,3.87,3.62,239.3,98.29,2.93
2024,4,24,13,1.71,0.61,0.77,7.24,1.64,67.57,4.97,3.41,237.3,98.24,2.77
2024,4,24,14,1.43,0.93,0.66,7.15,2.06,69.97,5.55,3.25,235.1,98.2,2.69
2024,4,24,15,1.1,0.71,0.51,6.77,2.47,74.03,5.56,3.09,232.4,98.17,2.63
2024,4,24,16,0.71,0.47,0.32,6.27,2.9,78.91,5.1,2.92,227.2,98.15,2.55
2024,4,24,17,0.43,0.31,0.19,5.71,3.3,84.41,4.79,2.56,219.5,98.13,2.34
2024,4,24,18,0.15,0.12,0.07,4.98,3.62,90.77,5.68,1.95,210.5,98.11,2.17
